id,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings
1,I,0.535,0.42,0.145,0.926,0.398,0.1965,0.25,17
1,I,0.52,0.415,0.16,0.595,0.2105,0.142,0.26,15
2,I,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17
1,I,0.58,0.42,0.16,0.728,0.2725,0.19,0.19,14
2,I,0.5,0.385,0.155,0.762,0.3795,0.161,0.19,14
3,I,0.43,0.34,0.125,0.384,0.1375,0.061,0.146,14
3,I,0.65,0.515,0.16,1.1625,0.495,0.203,0.33,17
2,I,0.655,0.515,0.145,1.25,0.5265,0.283,0.315,15
4,I,0.385,0.305,0.095,0.252,0.0915,0.055,0.09,14
1,I,0.53,0.415,0.145,0.944,0.3845,0.185,0.265,21
4,I,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17
1,I,0.485,0.38,0.14,0.673,0.2175,0.13,0.195,18
5,I,0.535,0.42,0.145,0.926,0.398,0.1965,0.25,17
5,I,0.61,0.475,0.17,1.0385,0.4435,0.241,0.32,14
2,I,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,18
6,I,0.61,0.46,0.17,1.278,0.41,0.257,0.37,17
6,I,0.525,0.405,0.15,0.795,0.3075,0.205,0.255,14
7,I,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17
3,I,0.48,0.38,0.125,0.523,0.2105,0.1045,0.175,15
3,I,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,18
4,I,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,18
7,I,0.385,0.305,0.095,0.252,0.0915,0.055,0.09,14
8,I,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14
4,I,0.52,0.405,0.14,0.6765,0.2865,0.146,0.205,15
8,I,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17
1,I,0.44,0.33,0.135,0.522,0.17,0.0905,0.195,16
1,I,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,19
9,I,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17
9,I,0.44,0.345,0.12,0.487,0.1965,0.108,0.16,14
10,I,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435,17
10,I,0.45,0.345,0.135,0.443,0.1975,0.0875,0.1175,14
5,I,0.525,0.41,0.175,0.874,0.3585,0.207,0.205,18
11,I,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,14
5,I,0.52,0.415,0.16,0.595,0.2105,0.142,0.26,15
2,I,0.44,0.355,0.165,0.435,0.159,0.105,0.14,16
12,I,0.47,0.4,0.16,0.51,0.1615,0.073,0.198,14
3,I,0.635,0.5,0.18,1.319,0.5485,0.292,0.49,16
6,I,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,15
4,I,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,16
13,I,0.55,0.425,0.15,0.806,0.376,0.171,0.245,14
14,I,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14
6,I,0.525,0.41,0.175,0.874,0.3585,0.207,0.205,18
7,I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15
5,I,0.56,0.445,0.155,0.8735,0.3005,0.209,0.275,16
6,I,0.44,0.33,0.135,0.522,0.17,0.0905,0.195,16
7,I,0.6,0.445,0.175,1.057,0.383,0.216,0.355,16
8,I,0.6,0.445,0.175,1.057,0.383,0.216,0.355,16
8,I,0.555,0.455,0.17,0.8435,0.309,0.1905,0.3,15
9,I,0.635,0.5,0.18,1.319,0.5485,0.292,0.49,16
10,I,0.6,0.445,0.175,1.057,0.383,0.216,0.355,16
11,I,0.44,0.33,0.135,0.522,0.17,0.0905,0.195,16
11,I,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435,17
2,I,0.52,0.39,0.14,0.7325,0.2415,0.144,0.26,19
9,I,0.62,0.485,0.17,1.208,0.4805,0.3045,0.33,15
15,I,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14
12,I,0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425,16
10,I,0.465,0.36,0.105,0.498,0.214,0.116,0.14,15
11,I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15
1,I,0.53,0.42,0.185,0.752,0.299,0.156,0.205,20
12,I,0.65,0.515,0.16,1.1625,0.495,0.203,0.33,17
12,I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15
13,I,0.465,0.36,0.105,0.498,0.214,0.116,0.14,15
16,I,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14
7,I,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,18
17,I,0.525,0.405,0.15,0.795,0.3075,0.205,0.255,14
18,I,0.625,0.465,0.155,0.972,0.404,0.1845,0.35,14
3,I,0.52,0.39,0.14,0.7325,0.2415,0.144,0.26,19
13,I,0.59,0.465,0.195,1.0885,0.3685,0.187,0.375,17
19,I,0.44,0.345,0.12,0.487,0.1965,0.108,0.16,14
14,I,0.535,0.42,0.145,0.926,0.398,0.1965,0.25,17
20,I,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14
2,I,0.53,0.415,0.145,0.944,0.3845,0.185,0.265,21
2,I,0.58,0.445,0.17,1.178,0.3935,0.2165,0.315,20
8,I,0.525,0.41,0.175,0.874,0.3585,0.207,0.205,18
9,I,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,18
21,I,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,14
15,I,0.61,0.46,0.17,1.278,0.41,0.257,0.37,17
10,I,0.525,0.41,0.175,0.874,0.3585,0.207,0.205,18
3,I,0.53,0.415,0.145,0.944,0.3845,0.185,0.265,21
3,I,0.53,0.42,0.185,0.752,0.299,0.156,0.205,20
14,I,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,15
22,I,0.525,0.405,0.15,0.795,0.3075,0.205,0.255,14
4,I,0.52,0.39,0.14,0.7325,0.2415,0.144,0.26,19
15,I,0.52,0.405,0.14,0.6765,0.2865,0.146,0.205,15
23,I,0.625,0.46,0.16,1.2395,0.55,0.273,0.38,14
16,I,0.55,0.44,0.165,0.8605,0.312,0.169,0.3,17
4,I,0.58,0.445,0.17,1.178,0.3935,0.2165,0.315,20
13,I,0.635,0.5,0.18,1.319,0.5485,0.292,0.49,16
17,I,0.59,0.465,0.195,1.0885,0.3685,0.187,0.375,17
24,I,0.5,0.385,0.155,0.762,0.3795,0.161,0.19,14
18,I,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435,17
16,I,0.66,0.525,0.18,1.6935,0.6025,0.4005,0.42,15
14,I,0.6,0.445,0.175,1.057,0.383,0.216,0.355,16
15,I,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,16
11,I,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,18
